"Forest","Plot","Year","Date","Quadrant","Common.name","DBH_cm"
"South Hammond",2,2021,"13-Oct-21",1,"white pine",22.8
"South Hammond",2,2021,"13-Oct-21",1,"red oak",22.4
"South Hammond",2,2021,"13-Oct-21",1,"muscle wood",16.6
"South Hammond",2,2021,"13-Oct-21",1,"white oak",11.8
"South Hammond",2,2021,"13-Oct-21",4,"red oak",55.7
"South Hammond",2,2021,"13-Oct-21",4,"red oak",15.4
"South Hammond",2,2021,"13-Oct-21",4,"white pine",36.5
"South Hammond",2,2021,"13-Oct-21",4,"red oak",11.2
"South Hammond",2,2021,"13-Oct-21",4,"red oak",18.7
"South Hammond",2,2021,"13-Oct-21",4,"red oak",11.7
"South Hammond",2,2021,"13-Oct-21",3,"red oak",28.6
"South Hammond",2,2021,"13-Oct-21",3,"white pine",17.7
"South Hammond",2,2021,"13-Oct-21",3,"red oak",18.3
"South Hammond",2,2021,"13-Oct-21",3,"red oak",37.7
"South Hammond",2,2021,"13-Oct-21",3,"red oak",17.2
"South Hammond",2,2021,"13-Oct-21",3,"white pine",27.2
"South Hammond",2,2021,"13-Oct-21",3,"white pine",10.2
"South Hammond",2,2021,"13-Oct-21",3,"red oak",34
"South Hammond",2,2021,"13-Oct-21",2,"white pine",20.7
"South Hammond",2,2021,"13-Oct-21",2,"white ash",24
"South Hammond",2,2021,"13-Oct-21",2,"ironwood",10.5
"South Hammond",2,2021,"13-Oct-21",2,"white pine",16.5
"South Hammond",3,2021,"13-Oct-21",1,"black cherry",15.4
"South Hammond",3,2021,"13-Oct-21",1,"shagbark hickory",13.5
"South Hammond",3,2021,"13-Oct-21",1,"white pine",10.4
"South Hammond",3,2021,"13-Oct-21",1,"juneberry",16.3
"South Hammond",3,2021,"13-Oct-21",1,"white pine",29.5
"South Hammond",3,2021,"13-Oct-21",1,"white oak",10.7
"South Hammond",3,2021,"13-Oct-21",4,"red oak",10.6
"South Hammond",3,2021,"13-Oct-21",4,"white oak",50.7
"South Hammond",3,2021,"13-Oct-21",4,"white ash",14.6
"South Hammond",3,2021,"13-Oct-21",4,"white oak",26
"South Hammond",3,2021,"13-Oct-21",4,"white pine",12.5
"South Hammond",3,2021,"13-Oct-21",4,"red oak",26.9
"South Hammond",3,2021,"13-Oct-21",4,"red oak",20.7
"South Hammond",3,2021,"13-Oct-21",4,"red oak",17.6
"South Hammond",3,2021,"13-Oct-21",3,"white pine",15.4
"South Hammond",3,2021,"13-Oct-21",3,"red oak",39
"South Hammond",3,2021,"13-Oct-21",3,"red oak",29.5
"South Hammond",3,2021,"13-Oct-21",3,"white pine",23
"South Hammond",3,2021,"13-Oct-21",3,"red oak",11.7
"South Hammond",3,2021,"13-Oct-21",3,"shagbark hickory",12.5
"South Hammond",3,2021,"13-Oct-21",2,"red oak",41.5
"South Hammond",3,2021,"13-Oct-21",2,"white pine",19
"South Hammond",3,2021,"13-Oct-21",2,"white pine",14.6
"South Hammond",3,2021,"13-Oct-21",2,"white pine",12.8
"South Hammond",3,2021,"13-Oct-21",2,"white pine",19.3
"South Hammond",3,2021,"13-Oct-21",2,"red oak",18.3
"South Hammond",3,2021,"13-Oct-21",2,"juneberry",35.1
"South Hammond",3,2021,"13-Oct-21",2,"juneberry",10.3
"Peavine Swamp",2,2021,"20-Oct-21",1,"sugar maple",21.4
"Peavine Swamp",2,2021,"20-Oct-21",1,"red maple",25.7
"Peavine Swamp",2,2021,"20-Oct-21",1,"red maple",32.9
"Peavine Swamp",2,2021,"20-Oct-21",1,"red maple",34.9
"Peavine Swamp",2,2021,"20-Oct-21",1,"American beech",10.8
"Peavine Swamp",2,2021,"20-Oct-21",1,"red maple",38.6
"Peavine Swamp",2,2021,"20-Oct-21",2,"sugar maple",29.8
"Peavine Swamp",2,2021,"20-Oct-21",2,"American beech",15.6
"Peavine Swamp",2,2021,"20-Oct-21",2,"American beech",18
"Peavine Swamp",2,2021,"20-Oct-21",3,"American beech",11
"Peavine Swamp",2,2021,"20-Oct-21",3,"sugar maple",17.3
"Peavine Swamp",2,2021,"20-Oct-21",3,"sugar maple",14.8
"Peavine Swamp",2,2021,"20-Oct-21",3,"red maple",43.9
"Peavine Swamp",2,2021,"20-Oct-21",4,"American beech",14
"Peavine Swamp",2,2021,"20-Oct-21",4,"American beech",10.5
"Peavine Swamp",2,2021,"20-Oct-21",4,"American beech",15.7
"Peavine Swamp",2,2021,"20-Oct-21",4,"American beech",10.2
"Peavine Swamp",3,2021,"20-Oct-21",2,"yellow birch",24.7
"Peavine Swamp",3,2021,"20-Oct-21",2,"yellow birch",29.3
"Peavine Swamp",3,2021,"20-Oct-21",2,"sugar maple",13.3
"Peavine Swamp",3,2021,"20-Oct-21",2,"sugar maple",28.7
"Peavine Swamp",3,2021,"20-Oct-21",2,"sugar maple",11.3
"Peavine Swamp",3,2021,"20-Oct-21",3,"sugar maple",42
"Peavine Swamp",3,2021,"20-Oct-21",3,"sugar maple",17.8
"Peavine Swamp",3,2021,"20-Oct-21",3,"sugar maple",36.5
"Peavine Swamp",3,2021,"20-Oct-21",3,"American beech",10.1
"Peavine Swamp",3,2021,"20-Oct-21",3,"sugar maple",41
"Peavine Swamp",3,2021,"20-Oct-21",4,"American beech",10.4
"Peavine Swamp",3,2021,"20-Oct-21",4,"American beech",11.1
"Peavine Swamp",3,2021,"20-Oct-21",4,"sugar maple",14.1
"Peavine Swamp",3,2021,"20-Oct-21",4,"sugar maple",12.2
"Peavine Swamp",3,2021,"20-Oct-21",4,"red maple",32.8
"Peavine Swamp",3,2021,"20-Oct-21",4,"sugar maple",29.4
"Peavine Swamp",3,2021,"20-Oct-21",4,"red maple",31.5
"Peavine Swamp",3,2021,"20-Oct-21",1,"American beech",11.5
"Peavine Swamp",3,2021,"20-Oct-21",1,"sugar maple",29.1
"Peavine Swamp",3,2021,"20-Oct-21",1,"red maple",41.9
"Peavine Swamp",3,2021,"20-Oct-21",1,"sugar maple",41.1
"Peavine Swamp",1,2021,"27-Oct-21",1,"American beech",74.3
"Peavine Swamp",1,2021,"27-Oct-21",1,"American beech",18.7
"Peavine Swamp",1,2021,"27-Oct-21",4,"red maple",56.4
"Peavine Swamp",1,2021,"27-Oct-21",4,"American beech",13.1
"Peavine Swamp",1,2021,"27-Oct-21",4,"red spruce",35.5
"Peavine Swamp",1,2021,"27-Oct-21",4,"American beech",14.4
"Peavine Swamp",1,2021,"27-Oct-21",4,"red spruce",12.2
"Peavine Swamp",1,2021,"27-Oct-21",4,"American beech",14.2
"Peavine Swamp",1,2021,"27-Oct-21",4,"red maple",53.2
"Peavine Swamp",1,2021,"27-Oct-21",4,"American beech",17
"Peavine Swamp",1,2021,"27-Oct-21",4,"red maple",32.4
"Peavine Swamp",1,2021,"27-Oct-21",4,"American beech",43.5
"Peavine Swamp",1,2021,"27-Oct-21",4,"American beech",11.3
"Peavine Swamp",1,2021,"27-Oct-21",3,"red spruce",14.2
"Peavine Swamp",1,2021,"27-Oct-21",3,"American beech",14.9
"Peavine Swamp",1,2021,"27-Oct-21",3,"American beech",15.3
"Peavine Swamp",1,2021,"27-Oct-21",3,"red maple",25.6
"Peavine Swamp",1,2021,"27-Oct-21",3,"American beech",10.2
"Peavine Swamp",1,2021,"27-Oct-21",2,"American beech",11.6
"Peavine Swamp",1,2021,"27-Oct-21",2,"red maple",50.8
"Peavine Swamp",1,2021,"27-Oct-21",2,"American beech",12.8
"Peavine Swamp",1,2021,"27-Oct-21",2,"red maple",25.3
"Peavine Swamp",1,2021,"27-Oct-21",2,"American beech",20.6
"Degrasse",1,2021,"27-Oct-21",1,"red pine",36.8
"Degrasse",1,2021,"27-Oct-21",1,"red pine",41.9
"Degrasse",1,2021,"27-Oct-21",1,"red pine",37
"Degrasse",1,2021,"27-Oct-21",2,"American beech",28.7
"Degrasse",1,2021,"27-Oct-21",2,"American beech",13.8
"Degrasse",1,2021,"27-Oct-21",2,"American beech",12.8
"Degrasse",1,2021,"27-Oct-21",2,"red pine",35.2
"Degrasse",1,2021,"27-Oct-21",2,"white pine",15.7
"Degrasse",1,2021,"27-Oct-21",3,"red pine",37.7
"Degrasse",1,2021,"27-Oct-21",3,"white pine",16.6
"Degrasse",1,2021,"27-Oct-21",3,"red pine",37.8
"Degrasse",1,2021,"27-Oct-21",3,"red pine",37.2
"Degrasse",1,2021,"27-Oct-21",4,"red pine",35.6
"Degrasse",1,2021,"27-Oct-21",4,"white pine",10.2
"Degrasse",1,2021,"27-Oct-21",4,"red pine",37.8
"Degrasse",2,2021,"27-Oct-21",1,"red pine",37.2
"Degrasse",2,2021,"27-Oct-21",1,"red pine",42.2
"Degrasse",2,2021,"27-Oct-21",1,"red pine",34.4
"Degrasse",2,2021,"27-Oct-21",1,"white pine",24.9
"Degrasse",2,2021,"27-Oct-21",2,"red pine",36.6
"Degrasse",2,2021,"27-Oct-21",3,"red pine",39.2
"Degrasse",2,2021,"27-Oct-21",3,"red pine",41
"Degrasse",2,2021,"27-Oct-21",3,"red pine",34.5
"Degrasse",2,2021,"27-Oct-21",3,"red pine",40.3
"Degrasse",2,2021,"27-Oct-21",4,"red pine",37.2
"Degrasse",2,2021,"27-Oct-21",4,"red pine",33.8
"Degrasse",2,2021,"27-Oct-21",4,"red pine",38.8
"Degrasse",2,2021,"27-Oct-21",4,"white pine",21.7
"Degrasse",2,2021,"27-Oct-21",4,"red pine",36.1
"Degrasse",3,2021,"27-Oct-21",1,"red pine",39.8
"Degrasse",3,2021,"27-Oct-21",1,"American beech",11.4
"Degrasse",3,2021,"27-Oct-21",2,"white pine",21.3
"Degrasse",3,2021,"27-Oct-21",2,"red pine",37.3
"Degrasse",3,2021,"27-Oct-21",2,"red pine",34.5
"Degrasse",3,2021,"27-Oct-21",2,"red pine",41.3
"Degrasse",3,2021,"27-Oct-21",2,"white pine",10.7
"Degrasse",3,2021,"27-Oct-21",3,"red pine",33.7
"Degrasse",3,2021,"27-Oct-21",3,"red pine",36.5
"Degrasse",3,2021,"27-Oct-21",3,"white pine",11.8
"Degrasse",3,2021,"27-Oct-21",3,"red pine",35.7
"Degrasse",3,2021,"27-Oct-21",4,"red pine",37.5
"Degrasse",3,2021,"27-Oct-21",4,"red pine",40.8
"Degrasse",3,2021,"27-Oct-21",4,"American beech",15.1
"Degrasse",3,2021,"27-Oct-21",4,"red pine",32.3
